Date : 2024-01-06 23:15:02
Directory : d:\Software\Python\Blog_Site
Total : 2492 files,  115434 codes, 15787 comments, 19065 blanks, all 150286 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| static\ckeditor\ckeditor\plugins\a11yhelp\dialogs                                                                                       |        130 |      1,010 |        520 |          0 |      1,530 |
| static\ckeditor\ckeditor\plugins\a11yhelp\dialogs (Files)                                                                               |          2 |         12 |          8 |          0 |         20 |
| static\ckeditor\ckeditor\plugins\a11yhelp\dialogs\lang                                                                                  |        128 |        998 |        512 |          0 |      1,510 |
| static\ckeditor\ckeditor\plugins\about                                                                                                  |          2 |          8 |          8 |          0 |         16 |
| static\ckeditor\ckeditor\plugins\about\dialogs                                                                                          |          2 |          8 |          8 |          0 |         16 |
| static\ckeditor\ckeditor\plugins\adobeair                                                                                               |          2 |         10 |          8 |          0 |         18 |
| static\ckeditor\ckeditor\plugins\ajax                                                                                                   |          2 |          6 |          8 |          0 |         14 |
| static\ckeditor\ckeditor\plugins\autoembed                                                                                              |         22 |         30 |          8 |          0 |         38 |
| static\ckeditor\ckeditor\plugins\autoembed (Files)                                                                                      |          2 |         10 |          8 |          0 |         18 |
| static\ckeditor\ckeditor\plugins\autoembed\lang                                                                                         |         20 |         20 |          0 |          0 |         20 |
| static\ckeditor\ckeditor\plugins\autogrow                                                                                               |          2 |          8 |          8 |          0 |         16 |
| static\ckeditor\ckeditor\plugins\autolink                                                                                               |          2 |          2 |          8 |          0 |         10 |
| static\ckeditor\ckeditor\plugins\bbcode                                                                                                 |          2 |         36 |          8 |          0 |         44 |
| static\ckeditor\ckeditor\plugins\clipboard                                                                                              |          2 |         14 |          8 |          0 |         22 |
| static\ckeditor\ckeditor\plugins\clipboard\dialogs                                                                                      |          2 |         14 |          8 |          0 |         22 |
| static\ckeditor\ckeditor\plugins\codesnippet                                                                                            |        192 |      9,500 |      1,090 |      1,788 |     12,378 |
| static\ckeditor\ckeditor\plugins\codesnippet (Files)                                                                                    |          2 |         16 |          8 |          0 |         24 |
| static\ckeditor\ckeditor\plugins\codesnippet\dialogs                                                                                    |          2 |          4 |          8 |          0 |         12 |
| static\ckeditor\ckeditor\plugins\codesnippet\lang                                                                                       |         94 |         94 |        376 |          0 |        470 |
| static\ckeditor\ckeditor\plugins\codesnippet\lib                                                                                        |         94 |      9,386 |        698 |      1,788 |     11,872 |
| static\ckeditor\ckeditor\plugins\codesnippet\lib\highlight                                                                              |         94 |      9,386 |        698 |      1,788 |     11,872 |
| static\ckeditor\ckeditor\plugins\codesnippet\lib\highlight (Files)                                                                      |          6 |      1,370 |          0 |        634 |      2,004 |
| static\ckeditor\ckeditor\plugins\codesnippet\lib\highlight\styles                                                                       |         88 |      8,016 |        698 |      1,154 |      9,868 |
| static\ckeditor\ckeditor\plugins\codesnippetgeshi                                                                                       |          2 |         12 |          8 |          0 |         20 |
| static\ckeditor\ckeditor\plugins\colordialog                                                                                            |          4 |         46 |         16 |          8 |         70 |
| static\ckeditor\ckeditor\plugins\colordialog\dialogs                                                                                    |          4 |         46 |         16 |          8 |         70 |
| static\ckeditor\ckeditor\plugins\copyformatting                                                                                         |          6 |        136 |         20 |         16 |        172 |
| static\ckeditor\ckeditor\plugins\copyformatting\cursors                                                                                 |          4 |         76 |          0 |          4 |         80 |
| static\ckeditor\ckeditor\plugins\copyformatting\styles                                                                                  |          2 |         60 |         20 |         12 |         92 |
| static\ckeditor\ckeditor\plugins\devtools                                                                                               |        104 |        112 |        416 |          0 |        528 |
| static\ckeditor\ckeditor\plugins\devtools (Files)                                                                                       |          2 |         10 |          8 |          0 |         18 |
| static\ckeditor\ckeditor\plugins\devtools\lang                                                                                          |        102 |        102 |        408 |          0 |        510 |
| static\ckeditor\ckeditor\plugins\dialog                                                                                                 |          4 |         32 |          8 |          8 |         48 |
| static\ckeditor\ckeditor\plugins\dialog (Files)                                                                                         |          2 |          0 |          8 |          2 |         10 |
| static\ckeditor\ckeditor\plugins\dialog\styles                                                                                          |          2 |         32 |          0 |          6 |         38 |
| static\ckeditor\ckeditor\plugins\div                                                                                                    |          2 |         20 |          0 |          0 |         20 |
| static\ckeditor\ckeditor\plugins\div\dialogs                                                                                            |          2 |         20 |          0 |          0 |         20 |
| static\ckeditor\ckeditor\plugins\divarea                                                                                                |          2 |          2 |          8 |          0 |         10 |
| static\ckeditor\ckeditor\plugins\docprops                                                                                               |        136 |        424 |         16 |          0 |        440 |
| static\ckeditor\ckeditor\plugins\docprops (Files)                                                                                       |          2 |          4 |          8 |          0 |         12 |
| static\ckeditor\ckeditor\plugins\docprops\dialogs                                                                                       |          2 |         42 |          8 |          0 |         50 |
| static\ckeditor\ckeditor\plugins\docprops\lang                                                                                          |        132 |        378 |          0 |          0 |        378 |
| static\ckeditor\ckeditor\plugins\embed                                                                                                  |          2 |          4 |          8 |          0 |         12 |
| static\ckeditor\ckeditor\plugins\embedbase                                                                                              |         42 |         56 |         16 |          0 |         72 |
| static\ckeditor\ckeditor\plugins\embedbase (Files)                                                                                      |          2 |         14 |          8 |          0 |         22 |
| static\ckeditor\ckeditor\plugins\embedbase\dialogs                                                                                      |          2 |          4 |          8 |          0 |         12 |
| static\ckeditor\ckeditor\plugins\embedbase\lang                                                                                         |         38 |         38 |          0 |          0 |         38 |
| static\ckeditor\ckeditor\plugins\embedsemantic                                                                                          |          2 |          6 |          8 |          0 |         14 |
| static\ckeditor\ckeditor\plugins\exportpdf                                                                                              |         78 |      1,580 |          8 |        698 |      2,286 |
| static\ckeditor\ckeditor\plugins\exportpdf (Files)                                                                                      |          8 |        228 |          0 |        164 |        392 |
| static\ckeditor\ckeditor\plugins\exportpdf\tests                                                                                        |         70 |      1,352 |          8 |        534 |      1,894 |
| static\ckeditor\ckeditor\plugins\exportpdf\tests (Files)                                                                                |         12 |        100 |          0 |          0 |        100 |
| static\ckeditor\ckeditor\plugins\exportpdf\tests\_helpers                                                                               |          2 |          2 |          8 |          0 |         10 |
| static\ckeditor\ckeditor\plugins\exportpdf\tests\manual                                                                                 |         56 |      1,250 |          0 |        534 |      1,784 |
| static\ckeditor\ckeditor\plugins\exportpdf\tests\manual (Files)                                                                         |         52 |      1,176 |          0 |        498 |      1,674 |
| static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\integrations                                                                    |          4 |         74 |          0 |         36 |        110 |
| static\ckeditor\ckeditor\plugins\filetools                                                                                              |         40 |         62 |        160 |          0 |        222 |
| static\ckeditor\ckeditor\plugins\filetools (Files)                                                                                      |          2 |         18 |          8 |          0 |         26 |
| static\ckeditor\ckeditor\plugins\filetools\lang                                                                                         |         38 |         44 |        152 |          0 |        196 |
| static\ckeditor\ckeditor\plugins\find                                                                                                   |          2 |         44 |          8 |          0 |         52 |
| static\ckeditor\ckeditor\plugins\find\dialogs                                                                                           |          2 |         44 |          8 |          0 |         52 |
| static\ckeditor\ckeditor\plugins\flash                                                                                                  |          2 |         40 |          8 |          0 |         48 |
| static\ckeditor\ckeditor\plugins\flash\dialogs                                                                                          |          2 |         40 |          8 |          0 |         48 |
| static\ckeditor\ckeditor\plugins\forms                                                                                                  |         16 |        100 |         64 |          0 |        164 |
| static\ckeditor\ckeditor\plugins\forms\dialogs                                                                                          |         16 |        100 |         64 |          0 |        164 |
| static\ckeditor\ckeditor\plugins\iframe                                                                                                 |          2 |         14 |          8 |          0 |         22 |
| static\ckeditor\ckeditor\plugins\iframe\dialogs                                                                                         |          2 |         14 |          8 |          0 |         22 |
| static\ckeditor\ckeditor\plugins\iframedialog                                                                                           |          2 |          8 |          8 |          0 |         16 |
| static\ckeditor\ckeditor\plugins\image                                                                                                  |          2 |         80 |          8 |          0 |         88 |
| static\ckeditor\ckeditor\plugins\image2                                                                                                 |        136 |        204 |         16 |          0 |        220 |
| static\ckeditor\ckeditor\plugins\image2 (Files)                                                                                         |          2 |         52 |          8 |          0 |         60 |
| static\ckeditor\ckeditor\plugins\image2\dialogs                                                                                         |          2 |         20 |          8 |          0 |         28 |
| static\ckeditor\ckeditor\plugins\image2\lang                                                                                            |        132 |        132 |          0 |          0 |        132 |
| static\ckeditor\ckeditor\plugins\image\dialogs                                                                                          |          2 |         80 |          8 |          0 |         88 |
| static\ckeditor\ckeditor\plugins\language                                                                                               |         86 |         92 |        344 |          0 |        436 |
| static\ckeditor\ckeditor\plugins\language (Files)                                                                                       |          2 |          8 |          8 |          0 |         16 |
| static\ckeditor\ckeditor\plugins\language\lang                                                                                          |         84 |         84 |        336 |          0 |        420 |
| static\ckeditor\ckeditor\plugins\lineutils                                                                                              |          2 |         36 |          8 |          0 |         44 |
| static\ckeditor\ckeditor\plugins\link                                                                                                   |          4 |         62 |         16 |          0 |         78 |
| static\ckeditor\ckeditor\plugins\link\dialogs                                                                                           |          4 |         62 |         16 |          0 |         78 |
| static\ckeditor\ckeditor\plugins\liststyle                                                                                              |          2 |         12 |          8 |          0 |         20 |
| static\ckeditor\ckeditor\plugins\liststyle\dialogs                                                                                      |          2 |         12 |          8 |          0 |         20 |
| static\ckeditor\ckeditor\plugins\mathjax                                                                                                |         92 |        116 |         16 |          0 |        132 |
| static\ckeditor\ckeditor\plugins\mathjax (Files)                                                                                        |          2 |         22 |          8 |          0 |         30 |
| static\ckeditor\ckeditor\plugins\mathjax\dialogs                                                                                        |          2 |          6 |          8 |          0 |         14 |
| static\ckeditor\ckeditor\plugins\mathjax\lang                                                                                           |         88 |         88 |          0 |          0 |         88 |
| static\ckeditor\ckeditor\plugins\menubutton                                                                                             |          2 |          6 |          8 |          0 |         14 |
| static\ckeditor\ckeditor\plugins\notification                                                                                           |         40 |         68 |          8 |          0 |         76 |
| static\ckeditor\ckeditor\plugins\notification (Files)                                                                                   |          2 |         30 |          8 |          0 |         38 |
| static\ckeditor\ckeditor\plugins\notification\lang                                                                                      |         38 |         38 |          0 |          0 |         38 |
| static\ckeditor\ckeditor\plugins\notificationaggregator                                                                                 |          2 |         10 |          8 |          0 |         18 |
| static\ckeditor\ckeditor\plugins\pastefromgdocs                                                                                         |          2 |          8 |          8 |          0 |         16 |
| static\ckeditor\ckeditor\plugins\pastefromgdocs\filter                                                                                  |          2 |          8 |          8 |          0 |         16 |
| static\ckeditor\ckeditor\plugins\pastefromlibreoffice                                                                                   |          2 |         14 |          8 |          0 |         22 |
| static\ckeditor\ckeditor\plugins\pastefromlibreoffice\filter                                                                            |          2 |         14 |          8 |          0 |         22 |
| static\ckeditor\ckeditor\plugins\pastefromword                                                                                          |          2 |         78 |          8 |          0 |         86 |
| static\ckeditor\ckeditor\plugins\pastefromword\filter                                                                                   |          2 |         78 |          8 |          0 |         86 |
| static\ckeditor\ckeditor\plugins\pastetools                                                                                             |          4 |         56 |         16 |          0 |         72 |
| static\ckeditor\ckeditor\plugins\pastetools\filter                                                                                      |          4 |         56 |         16 |          0 |         72 |
| static\ckeditor\ckeditor\plugins\placeholder                                                                                            |        104 |        108 |        416 |          0 |        524 |
| static\ckeditor\ckeditor\plugins\placeholder (Files)                                                                                    |          2 |          6 |          8 |          0 |         14 |
| static\ckeditor\ckeditor\plugins\placeholder\dialogs                                                                                    |          2 |          2 |          8 |          0 |         10 |
| static\ckeditor\ckeditor\plugins\placeholder\lang                                                                                       |        100 |        100 |        400 |          0 |        500 |
| static\ckeditor\ckeditor\plugins\preview                                                                                                |          4 |         40 |          0 |         10 |         50 |
| static\ckeditor\ckeditor\plugins\preview (Files)                                                                                        |          2 |         20 |          0 |          8 |         28 |
| static\ckeditor\ckeditor\plugins\preview\styles                                                                                         |          2 |         20 |          0 |          2 |         22 |
| static\ckeditor\ckeditor\plugins\scayt                                                                                                  |         14 |        432 |          0 |        108 |        540 |
| static\ckeditor\ckeditor\plugins\scayt (Files)                                                                                          |          6 |        146 |          0 |         86 |        232 |
| static\ckeditor\ckeditor\plugins\scayt\dialogs                                                                                          |          6 |        244 |          0 |         12 |        256 |
| static\ckeditor\ckeditor\plugins\scayt\skins                                                                                            |          2 |         42 |          0 |         10 |         52 |
| static\ckeditor\ckeditor\plugins\scayt\skins\moono-lisa                                                                                 |          2 |         42 |          0 |         10 |         52 |
| static\ckeditor\ckeditor\plugins\sharedspace                                                                                            |          2 |          6 |          8 |          0 |         14 |
| static\ckeditor\ckeditor\plugins\smiley                                                                                                 |          2 |         14 |          8 |          0 |         22 |
| static\ckeditor\ckeditor\plugins\smiley\dialogs                                                                                         |          2 |         14 |          8 |          0 |         22 |
| static\ckeditor\ckeditor\plugins\sourcedialog                                                                                           |        134 |        138 |         16 |          0 |        154 |
| static\ckeditor\ckeditor\plugins\sourcedialog (Files)                                                                                   |          2 |          4 |          8 |          0 |         12 |
| static\ckeditor\ckeditor\plugins\sourcedialog\dialogs                                                                                   |          2 |          4 |          8 |          0 |         12 |
| static\ckeditor\ckeditor\plugins\sourcedialog\lang                                                                                      |        130 |        130 |          0 |          0 |        130 |
| static\ckeditor\ckeditor\plugins\specialchar                                                                                            |        122 |      1,022 |        488 |          0 |      1,510 |
| static\ckeditor\ckeditor\plugins\specialchar\dialogs                                                                                    |        122 |      1,022 |        488 |          0 |      1,510 |
| static\ckeditor\ckeditor\plugins\specialchar\dialogs (Files)                                                                            |          2 |         20 |          8 |          0 |         28 |
| static\ckeditor\ckeditor\plugins\specialchar\dialogs\lang                                                                               |        120 |      1,002 |        480 |          0 |      1,482 |
| static\ckeditor\ckeditor\plugins\stylesheetparser                                                                                       |          2 |          6 |          8 |          0 |         14 |
| static\ckeditor\ckeditor\plugins\table                                                                                                  |          2 |         36 |          8 |          0 |         44 |
| static\ckeditor\ckeditor\plugins\table\dialogs                                                                                          |          2 |         36 |          8 |          0 |         44 |
| static\ckeditor\ckeditor\plugins\tableresize                                                                                            |          2 |         18 |          8 |          0 |         26 |
| static\ckeditor\ckeditor\plugins\tableselection                                                                                         |          2 |         52 |         16 |          6 |         74 |
| static\ckeditor\ckeditor\plugins\tableselection\styles                                                                                  |          2 |         52 |         16 |          6 |         74 |
| static\ckeditor\ckeditor\plugins\tabletools                                                                                             |          2 |         28 |          8 |          0 |         36 |
| static\ckeditor\ckeditor\plugins\tabletools\dialogs                                                                                     |          2 |         28 |          8 |          0 |         36 |
| static\ckeditor\ckeditor\plugins\templates                                                                                              |          8 |        158 |         36 |         22 |        216 |
| static\ckeditor\ckeditor\plugins\templates (Files)                                                                                      |          2 |          0 |          8 |          2 |         10 |
| static\ckeditor\ckeditor\plugins\templates\dialogs                                                                                      |          4 |        152 |         20 |         20 |        192 |
| static\ckeditor\ckeditor\plugins\templates\templates                                                                                    |          2 |          6 |          8 |          0 |         14 |
| static\ckeditor\ckeditor\plugins\uicolor                                                                                                |        108 |        566 |        428 |          2 |        996 |
| static\ckeditor\ckeditor\plugins\uicolor (Files)                                                                                        |          2 |          4 |          8 |          0 |         12 |
| static\ckeditor\ckeditor\plugins\uicolor\dialogs                                                                                        |          2 |         10 |          8 |          0 |         18 |
| static\ckeditor\ckeditor\plugins\uicolor\lang                                                                                           |        100 |        100 |        400 |          0 |        500 |
| static\ckeditor\ckeditor\plugins\uicolor\yui                                                                                            |          4 |        452 |         12 |          2 |        466 |
| static\ckeditor\ckeditor\plugins\uicolor\yui (Files)                                                                                    |          2 |        450 |          0 |          0 |        450 |
| static\ckeditor\ckeditor\plugins\uicolor\yui\assets                                                                                     |          2 |          2 |         12 |          2 |         16 |
| static\ckeditor\ckeditor\plugins\uploadimage                                                                                            |          2 |          2 |          0 |          0 |          2 |
| static\ckeditor\ckeditor\plugins\uploadwidget                                                                                           |         42 |         52 |        168 |          0 |        220 |
| static\ckeditor\ckeditor\plugins\uploadwidget (Files)                                                                                   |          2 |         12 |          8 |          0 |         20 |
| static\ckeditor\ckeditor\plugins\uploadwidget\lang                                                                                      |         40 |         40 |        160 |          0 |        200 |
| static\ckeditor\ckeditor\plugins\widget                                                                                                 |         88 |        198 |        352 |          0 |        550 |
| static\ckeditor\ckeditor\plugins\widget (Files)                                                                                         |          2 |        112 |          8 |          0 |        120 |
| static\ckeditor\ckeditor\plugins\widget\lang                                                                                            |         86 |         86 |        344 |          0 |        430 |
| static\ckeditor\ckeditor\plugins\wsc                                                                                                    |        142 |        974 |         40 |        164 |      1,178 |
| static\ckeditor\ckeditor\plugins\wsc (Files)                                                                                            |          6 |        152 |          0 |         86 |        238 |
| static\ckeditor\ckeditor\plugins\wsc\dialogs                                                                                            |         10 |        506 |         40 |         62 |        608 |
| static\ckeditor\ckeditor\plugins\wsc\lang                                                                                               |        124 |        244 |          0 |          0 |        244 |
| static\ckeditor\ckeditor\plugins\wsc\skins                                                                                              |          2 |         72 |          0 |         16 |         88 |
| static\ckeditor\ckeditor\plugins\wsc\skins\moono-lisa                                                                                   |          2 |         72 |          0 |         16 |         88 |
| static\ckeditor\ckeditor\plugins\xml                                                                                                    |          2 |          6 |          8 |          0 |         14 |
| static\ckeditor\ckeditor\skins                                                                                                          |         44 |        190 |        160 |         44 |        394 |
| static\ckeditor\ckeditor\skins\moono                                                                                                    |         24 |        100 |         88 |         22 |        210 |
| static\ckeditor\ckeditor\skins\moono-lisa                                                                                               |         20 |         90 |         72 |         22 |        184 |
| static\ckeditor\ckeditor\vendor                                                                                                         |          2 |         26 |          0 |          0 |         26 |
| static\ckeditor\galleriffic                                                                                                             |         28 |     10,640 |      1,552 |      2,092 |     14,284 |
| static\ckeditor\galleriffic\css                                                                                                         |         18 |      1,984 |         16 |         60 |      2,060 |
| static\ckeditor\galleriffic\js                                                                                                          |         10 |      8,656 |      1,536 |      2,032 |     12,224 |
| static\css                                                                                                                              |          2 |     20,872 |         84 |      1,494 |     22,450 |
| static\js                                                                                                                               |          2 |         44 |          4 |          2 |         50 |
| static\main                                                                                                                             |          2 |     10,458 |         44 |        748 |     11,250 |
| static\main\css                                                                                                                         |          1 |     10,436 |         42 |        747 |     11,225 |
| static\main\js                                                                                                                          |          1 |         22 |          2 |          1 |         25 |
| templates                                                                                                                               |          3 |        160 |          9 |         11 |        180 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\Software\Python\Blog_Site\Blog_Site\__init__.py                                                                                      | Python           |          0 |          0 |          1 |          1 |
| d:\Software\Python\Blog_Site\Blog_Site\asgi.py                                                                                          | Python           |         10 |          0 |          7 |         17 |
| d:\Software\Python\Blog_Site\Blog_Site\settings.py                                                                                      | Python           |         80 |         17 |         33 |        130 |
| d:\Software\Python\Blog_Site\Blog_Site\urls.py                                                                                          | Python           |         10 |          0 |          5 |         15 |
